ID MAGALU,SKU
16042957899,GA914
16042956627,GA914
15894644333,GA823
16042901015,GA933
16042956924,GA935
16008017900,GA914
16042957720,GA935
16042895646,GA933
GA987V,GA987
15894636986,GA823
16042953528,GA935
16042902183,GA933
15894638783,GA823
16008017899,GA912
16042937067,GA934
16035866484,GA917
26684072,GA998
GA09A,GA09
16001569036,GA905
16008017898,GA903
GA1050,GA1163
GA1046,GA1162
GA1222-2,GA1222
GA1222,GA1222
GA312-CO,GA312
GA1260-1,GA1260
GA299,GA299
GA1215-2,GA1215
GA1149-1,GA1149
GA987-2,GA987
GA825-20,GA825
GA1224-1,GA1224
GA933-20,GA933
GA312-4,GA312
GA986-1,GA986
GA1206,GA1206
GA987,GA987
GA987-20,GA987
GA313,GA313
GA1219,GA1219
GA312,GA312
GA312-2,GA312
GA301-1,GA301
GA301-10,GA301
GA914-0,GA914
GA1244-1,GA1244
GA313-CO,GA313
GA1235-2,GA1235
GA1147-1,GA1147
GA827,GA827
GA826,GA826
GA828,GA828
GA299-5,GA299
GA1206-1,GA1206
GA1108,GA1108
GA1222-1,GA1222
GA299-1,GA299
GA1147,GA1147
GA313-3,GA313
GA954,GA954
GA1242-1,GA1242
GA301,GA301
GA1254,GA1254
GA1221,GA1221
GA933,GA933
GA313-1,GA313
GA987-VA,GA987
GA986-2,GA986
GA1224,GA1224
GA993-20,GA993
GA300,GA300
GA312-5,GA312
GA1234,GA1234
GA1223-2,GA1223
GA990-VA,GA990
GA990-1,GA990
GA1100,GA1100
GA1206-2,GA1206
GA743,GA743
GA1200,GA1200
GA986-5,GA986
GA299-4,GA299
GA1231,GA1231
GA1105-2,GA1105
GA987-5,GA987
GA933-1,GA933
GA312-3,GA312
GA1108-1,GA1108
GA933-2,GA933
GA987-3,GA987
GA827-1,GA827
GA301-2,GA301
GA953,GA953
GA914-4,GA914
GA1281,GA1281
GA300-1,GA300
GA1205-1,GA1205
16042903779,GA903
GA300-3,GA300
GA914-1,GA914
GA825,GA825
GA749-3,GA749
GA954-1,GA954
GA987-1,GA987
GA312-1,GA312
GA1284,GA1284
GA825-CO,GA825
GA987-6,GA987
GA1215,GA1215
GA993-VA,GA993
GA997-1,GA997
GA1261-1,GA1261
GA1254-2,GA1254
GA733,GA733
GA1199-1,GA1199
GA1170,GA1170
GA1196,GA1196
GA1260,GA1260
GA749-4,GA749
GA1289,GA1289
GA1284-1,GA1284
GA1241,GA1241
GA1287,GA1287
GA1111-1,GA1111
GA1228,GA1228
GA986,GA986
GA1253-2,GA1253
GA1202,GA1202
GA1200-1,GA1200
GA1283,GA1283
GA1285,GA1285
GA1223,GA1223
GA1196-839,GA1196
GA1101,GA1101
GA1103,GA1103
GA1226-2,GA1226
GA986-V,GA986
GA1288,GA1288
GA726-3,GA726
GA828-1,GA828
GA990-4,GA990
GA1243-1,GA1243
GA1112-1,GA1112
GA313-6,GA313
GA1223-1,GA1223
GA1298,GA1298
GA1202-2,GA1202
GA1237-2,GA1237
GA312-6,GA312
GA1235,GA1235
GA1201,GA1201
GA1109-1,GA1109
GA1271,GA1271
GA986-3,GA986
